"ADDRESS","BOROUGH","BIN","ZIP","CD","HPD_VIOLATIONS","DOB_VIOLATIONS","TOTAL_VIOLATIONS","DWELLING_UNITS","VIO_UNITS_RATIO"
"214 EAST 111 STREET","Manhattan","1052482","10029","111","60","3","63","7","9"
"253 EAST 110 STREET","Manhattan","1052486","10029","111","58","2","60","10","6"
"2263 2 AVENUE","Manhattan","1052583","10035","111","13","0","13","4","3.3"
"349 EAST 104 STREET","Manhattan","1052736","10029","111","24","0","24","8","3"
"324 EAST 109 STREET","Manhattan","1052815","10029","111","49","0","49","15","3.3"
"2121 1 AVENUE","Manhattan","1052837","10029","111","41","2","43","6","7.2"
"2127 1 AVENUE","Manhattan","1052840","10029","111","18","1","19","4","4.8"
"347 EAST 109 STREET","Manhattan","1052854","10029","111","48","1","49","14","3.5"
"2240 2 AVENUE","Manhattan","1052897","10029","111","32","1","33","5","6.6"
"313 EAST 115 STREET","Manhattan","1052902","10029","111","95","1","96","15","6.4"
"340 EAST 116 STREET","Manhattan","1052920","10029","111","9","1","10","3","3.3"
"322 EAST 116 STREET","Manhattan","1052924","10029","111","43","0","43","3","14.3"
"305 EAST 115 STREET","Manhattan","1052934","10029","111","38","0","38","6","6.3"
"411 EAST 114 STREET","Manhattan","1053007","10029","111","68","0","68","20","3.4"
"417 EAST 114 STREET","Manhattan","1053009","10029","111","35","0","35","8","4.4"
"419 EAST 114 STREET","Manhattan","1053010","10029","111","36","1","37","10","3.7"
"421 EAST 114 STREET","Manhattan","1053011","10029","111","65","0","65","8","8.1"
"273 PLEASANT AVENUE","Manhattan","1053037","10029","111","9","0","9","3","3"
"432 EAST 116 STREET","Manhattan","1053056","10029","111","94","1","95","11","8.6"
"413 EAST 117 STREET","Manhattan","1053109","10035","111","64","0","64","10","6.4"
"83 WEST 118 STREET","Manhattan","1053177","10026","110","11","2","13","4","3.3"
"73 WEST 118 STREET","Manhattan","1053181","10026","110","48","1","49","10","4.9"
"71 WEST  118 STREET","Manhattan","1053182","10026","110","36","3","39","10","3.9"
"69 WEST  118 STREET","Manhattan","1053183","10026","110","42","6","48","10","4.8"
"29 WEST 118 STREET","Manhattan","1053184","10026","110","95","0","95","20","4.8"
"81 WEST 119 STREET","Manhattan","1053292","10026","110","39","1","40","10","4"
"49 WEST 119 STREET","Manhattan","1053297","10026","110","37","3","40","11","3.6"
"14 MT MORRIS PARK WEST","Manhattan","1053367","10027","110","67","0","67","11","6.1"
"242 LENOX AVENUE","Manhattan","1053388","10027","110","39","8","47","15","3.1"
"22 MOUNT MORRIS PARK WEST","Manhattan","1053398","10027","110","76","2","78","22","3.5"
"23 WEST 123 STREET","Manhattan","1053420","10027","110","59","1","60","5","12"
"52 WEST  125 STREET","Manhattan","1053476","10027","110","13","0","13","4","3.3"
"2074 5 AVENUE","Manhattan","1053639","10035","110","29","0","29","4","7.3"
"38 WEST 128 STREET","Manhattan","1053651","10027","110","26","16","42","12","3.5"
"70 WEST 128 STREET","Manhattan","1053660","10027","110","45","1","46","9","5.1"
"33 WEST 128 STREET","Manhattan","1053715","10027","110","0","27","27","7","3.9"
"4 EAST  125 STREET","Manhattan","1054019","10035","111","17","1","18","3","6"
"77 EAST 125 STREET","Manhattan","1054042","10035","111","35","5","40","6","6.7"
"51 EAST 126 STREET","Manhattan","1054095","10035","111","59","14","73","7","10.4"
"14 EAST 127 STREET","Manhattan","1054125","10035","111","41","4","45","10","4.5"
"2049 5 AVENUE","Manhattan","1054129","10035","111","102","0","102","24","4.3"
"2024 MADISON AVENUE","Manhattan","1054178","10035","111","20","0","20","3","6.7"
"42 EAST 129 STREET","Manhattan","1054196","10035","111","72","0","72","10","7.2"
"2081 5 AVENUE","Manhattan","1054207","10035","111","51","4","55","5","11"
"2056 MADISON AVENUE","Manhattan","1054246","10035","111","36","0","36","3","12"
"2050 MADISON AVENUE","Manhattan","1054270","10035","111","45","0","45","3","15"
"66 EAST 131 STREET","Manhattan","1054288","10037","111","12","5","17","4","4.3"
"64 EAST 131 STREET","Manhattan","1054296","10037","111","11","1","12","4","3"
"27 EAST 131 STREET","Manhattan","1054307","10037","111","41","0","41","12","3.4"
"1948 PARK AVENUE","Manhattan","1054321","10037","111","34","0","34","10","3.4"
"2153 5 AVENUE","Manhattan","1054342","10037","111","76","0","76","10","7.6"
"157 EAST  118 STREET","Manhattan","1054350","10035","111","54","3","57","10","5.7"
"149 EAST  121 STREET","Manhattan","1054386","10035","111","17","0","17","5","3.4"
"182 EAST 122 STREET","Manhattan","1054395","10035","111","41","0","41","7","5.9"
"243 EAST 118 STREET","Manhattan","1054525","10035","111","15","2","17","4","4.3"
"2311 2 AVENUE","Manhattan","1054531","10035","111","136","0","136","8","17"
"2315 2 AVENUE","Manhattan","1054533","10035","111","31","2","33","9","3.7"
"2317 2 AVENUE","Manhattan","1054534","10035","111","48","1","49","9","5.4"
"240 EAST  119 STREET","Manhattan","1054535","10035","111","129","1","130","22","5.9"
"200 EAST 119 STREET","Manhattan","1054544","10035","111","25","0","25","8","3.1"
"246 EAST 119 STREET","Manhattan","1054553","10035","111","30","0","30","10","3"
"2411 2 AVENUE","Manhattan","1054648","10035","111","36","0","36","10","3.6"
"329 EAST 118 STREET","Manhattan","1054710","10035","111","61","1","62","4","15.5"
"348 EAST 119 STREET","Manhattan","1054723","10035","111","45","10","55","18","3.1"
"307 EAST 119 STREET","Manhattan","1054737","10035","111","61","10","71","12","5.9"
"347 EAST 119 STREET","Manhattan","1054750","10035","111","37","1","38","10","3.8"
"348 EAST 120 STREET","Manhattan","1054758","10035","111","48","0","48","10","4.8"
"302 EAST 126 STREET","Manhattan","1054801","10035","111","93","0","93","19","4.9"
"2310 1 AVENUE","Manhattan","1054846","10035","111","96","3","99","8","12.4"
"406 EAST  119 STREET","Manhattan","1054858","10035","111","158","0","158","10","15.8"
"130 WEST 111 STREET","Manhattan","1054942","10026","110","12","0","12","4","3"
"123 WEST 112 STREET","Manhattan","1054981","10026","110","77","0","77","12","6.4"
"100 WEST  113 STREET","Manhattan","1054986","10026","110","39","1","40","9","4.4"
"102 WEST 114 STREET","Manhattan","1055020","10026","110","24","0","24","5","4.8"
"1917 7 AVENUE","Manhattan","1055057","10026","110","127","4","131","31","4.2"
"2076 8 AVENUE","Manhattan","1055109","10026","110","62","0","62","13","4.8"
"10 MANHATTAN AVENUE","Manhattan","1055306","10025","107","119","5","124","42","3"
"7 WEST 108 STREET","Manhattan","1055722","10025","107","99","18","117","25","4.7"
"3 WEST 108 STREET","Manhattan","1055723","10025","107","80","4","84","25","3.4"
"344 MANHATTAN AVENUE","Manhattan","1055825","10026","110","37","0","37","10","3.7"
"315 WEST  114 STREET","Manhattan","1055826","10026","110","36","0","36","10","3.6"
"311 WEST 114 STREET","Manhattan","1055828","10026","110","65","0","65","15","4.3"
"2113 8 AVENUE","Manhattan","1055834","10026","110","97","0","97","9","10.8"
"2117 8 AVENUE","Manhattan","1055836","10026","110","54","0","54","12","4.5"
"2123 8 AVENUE","Manhattan","1055839","10026","110","65","0","65","9","7.2"
"346 MANHATTAN AVENUE","Manhattan","1055849","10026","110","99","5","104","49","2.1"
"101 WEST 106 STREET","Manhattan","1055966","10025","107","59","0","59","12","4.9"
"120 WEST  109 STREET","Manhattan","1056014","10025","107","108","0","108","15","7.2"
"2647 BROADWAY","Manhattan","1056486","10025","107","142","7","149","26","5.7"
"926 AMSTERDAM AVENUE","Manhattan","1056615","10025","107","162","0","162","10","16.2"
"205 WEST  107 STREET","Manhattan","1056655","10025","107","42","1","43","14","3.1"
"964 AMSTERDAM AVENUE","Manhattan","1056658","10025","107","73","0","73","23","3.2"
"212 WEST 109 STREET","Manhattan","1056686","10025","107","76","0","76","20","3.8"
"249 WEST 109 STREET","Manhattan","1056696","10025","107","62","0","62","16","3.9"
"209 WEST 109 STREET","Manhattan","1056708","10025","107","97","0","97","15","6.5"
"315 WEST 102 STREET","Manhattan","1057176","10025","107","141","5","146","36","4.1"
"301 WEST  106 STREET","Manhattan","1057263","10025","107","110","9","119","46","2.6"
"133 WEST  116 STREET","Manhattan","1057399","10026","110","33","0","33","11","3"
"129 WEST  116 STREET","Manhattan","1057401","10026","110","27","0","27","9","3"
"125 WEST 116 STREET","Manhattan","1057402","10026","110","72","0","72","16","4.5"
"117 WEST 116 STREET","Manhattan","1057404","10026","110","77","0","77","16","4.8"
"131 WEST 118 STREET","Manhattan","1057480","10026","110","72","0","72","11","6.5"
"1987 7 AVENUE","Manhattan","1057532","10026","110","47","0","47","10","4.7"
"197 LENOX AVENUE","Manhattan","1057560","10026","110","182","1","183","10","18.3"
"185 LENOX AVENUE","Manhattan","1057592","10026","110","17","0","17","5","3.4"
"142 WEST 120 STREET","Manhattan","1057598","10027","110","14","0","14","4","3.5"
"2021 7 AVENUE","Manhattan","1057675","10027","110","27","0","27","9","3"
"231 LENOX AVENUE","Manhattan","1057688","10027","110","0","18","18","3","6"
"2035 7 AVENUE","Manhattan","1057699","10027","110","98","1","99","16","6.2"
"126 WEST 124 STREET","Manhattan","1057798","10027","110","80","3","83","9","9.2"
"128 WEST 124 STREET","Manhattan","1057799","10027","110","41","1","42","4","10.5"
"144 WEST  124 STREET","Manhattan","1057803","10027","110","92","0","92","9","10.2"
"146 WEST  124 STREET","Manhattan","1057804","10027","110","146","4","150","11","13.6"
"136 WEST 129 STREET","Manhattan","1057959","10027","110","31","0","31","4","7.8"
"158 WEST 132 STREET","Manhattan","1058117","10027","110","93","3","96","8","12"
"162 WEST 132 STREET","Manhattan","1058118","10027","110","188","17","205","12","17.1"
"2247 7 AVENUE","Manhattan","1058139","10027","110","55","0","55","16","3.4"
"124 WEST 134 STREET","Manhattan","1058234","10030","110","38","0","38","10","3.8"
"185 WEST 135 STREET","Manhattan","1058263","10030","110","21","0","21","5","4.2"
"179 WEST 135 STREET","Manhattan","1058264","10030","110","103","7","110","24","4.6"
"163 WEST  136 STREET","Manhattan","1058312","10030","110","110","0","110","16","6.9"
"531 LENOX AVENUE","Manhattan","1058335","10037","110","93","0","93","10","9.3"
"102 WEST  137 STREET","Manhattan","1058338","10030","110","34","1","35","6","5.8"
"106 WEST  137 STREET","Manhattan","1058339","10030","110","63","0","63","20","3.1"
"110 WEST 137 STREET","Manhattan","1058341","10030","110","60","0","60","10","6"
"124 WEST  137 STREET","Manhattan","1058345","10030","110","131","0","131","20","6.5"
"174 WEST 137 STREET","Manhattan","1058351","10030","110","90","0","90","21","4.3"
"176 WEST  137 STREET","Manhattan","1058352","10030","110","79","0","79","15","5.3"
"278 WEST 118 STREET","Manhattan","1058402","10026","110","34","0","34","10","3.4"
"2190 8 AVENUE","Manhattan","1058408","10026","110","49","1","50","8","6.3"
"279 WEST 118 STREET","Manhattan","1058412","10026","110","46","0","46","10","4.6"
"277 WEST 118 STREET","Manhattan","1058413","10026","110","29","3","32","10","3.2"
"275 WEST 118 STREET","Manhattan","1058414","10026","110","80","0","80","10","8"
"273 WEST 118 STREET","Manhattan","1058415","10026","110","108","0","108","10","10.8"
"2198 8 AVENUE","Manhattan","1058437","10026","110","35","0","35","8","4.4"
"271 WEST 119 STREET","Manhattan","1058443","10026","110","48","2","50","13","3.8"
"202 ST NICHOLAS AVENUE","Manhattan","1058463","10027","110","56","1","57","10","5.7"
"222 ST NICHOLAS AVENUE","Manhattan","1058491","10027","110","30","10","40","9","4.4"
"259 WEST 121 STREET","Manhattan","1058496","10027","110","26","1","27","8","3.4"
"2034 7 AVENUE","Manhattan","1058515","10027","110","396","20","416","57","7.3"
"234 WEST 122 STREET","Manhattan","1058527","10027","110","81","0","81","14","5.8"
"259 WEST  122 STREET","Manhattan","1058550","10027","110","91","0","91","10","9.1"
"257 WEST 122 STREET","Manhattan","1058551","10027","110","64","0","64","10","6.4"
"2058 7 AVENUE","Manhattan","1058567","10027","110","27","0","27","9","3"
"268 WEST 132 STREET","Manhattan","1058759","10027","110","30","1","31","7","4.4"
"200 WEST  133 STREET","Manhattan","1058785","10030","110","39","0","39","9","4.3"
"2490 8 AVENUE","Manhattan","1058804","10030","110","56","13","69","12","5.8"
"2494 8 AVENUE","Manhattan","1058806","10030","110","26","2","28","9","3.1"
"234 WEST 135 STREET","Manhattan","1058850","10030","110","107","0","107","29","3.7"
"235 WEST 135 STREET","Manhattan","1058877","10030","110","25","0","25","8","3.1"
"213 WEST  135 STREET","Manhattan","1058886","10030","110","46","2","48","11","4.4"
"209 WEST 135 STREET","Manhattan","1058888","10030","110","21","4","25","5","5"
"2302 7 AVENUE","Manhattan","1058893","10030","110","25","0","25","8","3.1"
"2304 7 AVENUE","Manhattan","1058894","10030","110","47","0","47","10","4.7"
"2308 7 AVENUE","Manhattan","1058896","10030","110","60","2","62","17","3.6"
"2310 7 AVENUE","Manhattan","1058897","10030","110","67","2","69","10","6.9"
"200 WEST  136 STREET","Manhattan","1058898","10030","110","62","0","62","8","7.8"
"251 WEST 136 STREET","Manhattan","1058939","10030","110","17","0","17","5","3.4"
"361 WEST 116 STREET","Manhattan","1059005","10026","110","30","1","31","10","3.1"
"385 MANHATTAN AVENUE","Manhattan","1059007","10026","110","49","0","49","3","16.3"
"411 MANHATTAN AVENUE","Manhattan","1059059","10026","110","39","0","39","10","3.9"
"437 MANHATTAN AVENUE","Manhattan","1059094","10026","110","133","11","144","53","2.7"
"63 MORNINGSIDE AVENUE","Manhattan","1059163","10027","110","225","34","259","10","25.9"
"344 WEST 121 STREET","Manhattan","1059170","10027","110","45","0","45","10","4.5"
"315 WEST 121 STREET","Manhattan","1059193","10027","110","56","0","56","16","3.5"
"520 MANHATTAN AVENUE","Manhattan","1059203","10027","110","79","1","80","23","3.5"
"109 MORNINGSIDE AVENUE","Manhattan","1059284","10027","109","45","1","46","10","4.6"
"351 WEST  125 STREET","Manhattan","1059309","10027","109","172","6","178","38","4.7"
"377 WEST 125 STREET","Manhattan","1059320","10027","109","10","2","12","3","4"
"363 WEST 126 STREET","Manhattan","1059329","10027","109","76","0","76","20","3.8"
"361 WEST 126 STREET","Manhattan","1059330","10027","109","65","0","65","20","3.3"
"2359 8 AVENUE","Manhattan","1059343","10027","110","32","2","34","10","3.4"
"366 WEST 127 STREET","Manhattan","1059358","10027","109","58","1","59","8","7.4"
"372 WEST 127 STREET","Manhattan","1059361","10027","109","34","0","34","10","3.4"
"376 WEST 127 STREET","Manhattan","1059363","10027","109","34","1","35","10","3.5"
"301 WEST 128 STREET","Manhattan","1059398","10027","110","18","0","18","4","4.5"
"2445 8 AVENUE","Manhattan","1059412","10027","110","62","0","62","13","4.8"
"452 ST NICHOLAS AVENUE","Manhattan","1059432","10027","110","35","1","36","10","3.6"
"488 ST NICHOLAS AVENUE","Manhattan","1059459","10030","110","94","0","94","30","3.1"
